Common Name,Scientific Name
Wailing Cisticola,Cisticola lais
Winding Cisticola,Cisticola galactotes
Coastal Cisticola,Cisticola haematocephalus
Carruthers's Cisticola,Cisticola carruthersi
Levaillant's Cisticola,Cisticola tinniens
Stout Cisticola,Cisticola robustus
Aberdare Cisticola,Cisticola aberdare
Croaking Cisticola,Cisticola natalensis
Red-pate Cisticola,Cisticola ruficeps
Tiny Cisticola,Cisticola nanus
Siffling Cisticola,Cisticola brachypterus
Foxy Cisticola,Cisticola troglodytes
Long-tailed Cisticola,Cisticola angusticauda
Zitting Cisticola,Cisticola juncidis
Desert Cisticola,Cisticola aridulus
Black-backed Cisticola,Cisticola eximius
Pectoral-patch Cisticola,Cisticola brunnescens
Wing-snapping Cisticola,Cisticola ayersii
Tawny-flanked Prinia,Prinia subflava
Pale Prinia,Prinia somalica
River Prinia,Prinia fluviatilis
Banded Prinia,Prinia bairdii
White-chinned Prinia,Schistolais leucopogon
Red-winged Warbler,Heliolais erythropterus
Buff-bellied Warbler,Phyllolais pulchella
Bar-throated Apalis,Apalis thoracica
Black-collared Apalis,Apalis pulchra
Yellow-breasted Apalis,Apalis flavida
Black-throated Apalis,Apalis jacksoni
White-winged Apalis,Apalis chariessa
Black-headed Apalis,Apalis melanocephala
Chestnut-throated Apalis,Apalis porphyrolaema
Buff-throated Apalis,Apalis rufogularis
Karamoja Apalis,Apalis karamojae
Grey Apalis,Apalis cinerea
Brown-headed Apalis,Apalis alticola
Red-fronted Warbler,Urorhipis rufifrons
Grey-capped Warbler,Eminia lepida
Grey-backed Camaroptera,Camaroptera brachyura
Olive-green Camaroptera,Camaroptera chloronota
Grey Wren Warbler,Calamonastes simplex
Pale Wren Warbler,Calamonastes undosus
Common Bulbul,Pycnonotus barbatus
Shelley's Greenbul,Andropadus masukuensis
Mountain Greenbul,Andropadus nigriceps
Stripe-cheeked Greenbul,Andropadus milanjensis
Little Greenbul,Andropadus virens
Little Grey Greenbul,Andropadus gracilis
Ansorge's Greenbul,Andropadus ansorgei
Plain Greenbul,Andropadus curvirostris
Yellow-whiskered Greenbul,Andropadus latirostris
Slender-billed Greenbul,Andropadus gracilirostris
Zanzibar Greenbul,Andropadus importunus
Honeyguide Greenbul,Baeopogon indicator
Joyful Greenbul,Chlorocichla laetissima
Yellow-bellied Greenbul,Chlorocichla flaviventris
Yellow-throated Leaflove,Chlorocichla flavicollis
Terrestrial Brownbul,Phyllastrephus terrestris
Northern Brownbul,Phyllastrephus strepitans
Grey-olive Greenbul,Phyllastrephus cerviniventris
Toro Olive Greenbul,Phyllastrephus hypochloris
Fischer's Greenbul,Phyllastrephus fischeri
Cabanis's Greenbul,Phyllastrephus cabanisi
Yellow-streaked Greenbul,Phyllastrephus flavostriatus
Tiny Greenbul,Phyllastrephus debilis
Red-tailed Bristlebill,Bleda syndactyla
Eastern Nicator,Nicator gularis
Fan-tailed Grassbird,Schoenicola brevirostris
Little Rush Warbler,Bradypterus baboecala
White-winged Swamp Warbler,Bradypterus carpalis
Evergreen Forest Warbler,Bradypterus lopezi
Cinnamon Bracken Warbler,Bradypterus cinnamomeus
Black-faced Rufous Warbler,Bathmocercus rufus
Moustached Grass Warbler,Melocichla mentalis
Common Grasshopper Warbler,Locustella naevia
River Warbler,Locustella fluviatilis
Savi's Warbler,Locustella luscinioides
Basra Reed Warbler,Acrocephalus griseldis
Greater Swamp Warbler,Acrocephalus rufescens
Lesser Swamp Warbler,Acrocephalus gracilirostris
Great Reed Warbler,Acrocephalus arundinaceus
Sedge Warbler,Acrocephalus schoenobaenus
African Reed Warbler,Acrocephalus baeticatus
Eurasian Reed Warbler,Acrocephalus scirpaceus
Marsh Warbler,Acrocephalus palustris
Eastern Olivaceous Warbler,Hippolais pallida
Upcher's Warbler,Hippolais languida
Olive-tree Warbler,Hippolais olivetorum
Icterine Warbler,Hippolais icterina
Dark-capped Yellow Warbler,Chloropeta natalensis
Mountain Yellow Warbler,Chloropeta similis
Papyrus Yellow Warbler,Chloropeta gracilirostris
Kretschmer's Longbill,Macrosphenus kretschmeri
Yellow-bellied Hyliota,Hyliota flavigaster
Southern Hyliota,Hyliota australis
Green Hylia,Hylia prasina
Yellow-throated Woodland Warbler,Phylloscopus ruficapilla
Uganda Woodland Warbler,Phylloscopus budongoensis
Brown Woodland Warbler,Phylloscopus umbrovirens
Willow Warbler,Phylloscopus trochilus
Common Chiffchaff,Phylloscopus collybita
Wood Warbler,Phylloscopus sibilatrix
Yellow-bellied Eremomela,Eremomela icteropygialis
Yellow-vented Eremomela,Eremomela flavicrissalis
Green-backed Eremomela,Eremomela canescens
Green-capped Eremomela,Eremomela scotops
Turner's Eremomela,Eremomela turneri
Northern Crombec,Sylvietta brachyura
Red-faced Crombec,Sylvietta whytii
Somali Crombec,Sylvietta isabellina
Green Crombec,Sylvietta virens
White-browed Crombec,Sylvietta leucophrys
Blackcap,Sylvia atricapilla
Garden Warbler,Sylvia borin
Barred Warbler,Sylvia nisoria
Common Whitethroat,Sylvia communis
Brown Parisoma,Parisoma lugens
Banded Parisoma,Parisoma boehmi
Scaly-breasted Illadopsis,Illadopsis albipectus
Pale-breasted Illadopsis,Illadopsis rufipennis
Brown Illadopsis,Illadopsis fulvescens
Mountain Illadopsis,Illadopsis pyrrhoptera
Grey-chested Babbler,Kakamega poliothorax
African Hill Babbler,Pseudoalcippe abyssinica
Scaly Chatterer,Turdoides aylmeri
Rufous Chatterer,Turdoides rubiginosa
Black-lored Babbler,Turdoides sharpei
Brown Babbler,Turdoides plebejus
Arrow-marked Babbler,Turdoides jardineii
Scaly Babbler,Turdoides squamulata
Hinde's Babbler,Turdoides hindei
Northern Pied Babbler,Turdoides hypoleuca
Abyssinian White-eye,Zosterops abyssinicus
African Yellow White-eye,Zosterops senegalensis
Montane White-eye,Zosterops poliogastrus
Spotted Creeper,Salpornis spilonotus
Rose-coloured Starling,Pastor roseus
Wattled Starling,Creatophora cinerea
Greater Blue-eared Starling,Lamprotornis chalybaeus
Lesser Blue-eared Starling,Lamprotornis chloropterus
Bronze-tailed Starling,Lamprotornis chalcurus
Splendid Starling,Lamprotornis splendidus
Purple Starling,Lamprotornis purpureus
Rüppell's Starling,Lamprotornis purpuroptera
Golden-breasted Starling,Lamprotornis regius
Black-bellied Starling,Lamprotornis corruscus
Superb Starling,Lamprotornis superbus
Hildebrandt's Starling,Lamprotornis hildebrandti
Shelley's Starling,Lamprotornis shelleyi
Fischer's Starling,Lamprotornis fischeri
Abbott's Starling,Cynniricinclus femoralis
Violet-backed Starling,Cynniricinclus leucogaster
White-crowned Starling,Spreo albicapillus
Magpie Starling,Speculipastor bicolor
Red-winged Starling,Onychognathus morio
Slender-billed Starling,Onychognathus tenuirostris
Waller's Starling,Onychognathus walleri
Bristle-crowned Starling,Onychognathus salvadorii
Stuhlmann's Starling,Poeoptera stuhlmanni
Kenrick's Starling,Poeoptera kenricki
Sharpe's Starling,Pholia sharpii
Red-billed Oxpecker,Buphagus erythrorhynchus
Yellow-billed Oxpecker,Buphagus africanus
Red-tailed Ant Thrush,Neocossyphus rufus
White-tailed Ant Thrush,Neocossyphus poensis
Abyssinian Ground Thrush,Zoothera piaggiae
Orange Ground Thrush,Zoothera gurneyi
Spotted Ground Thrush,Zoothera guttata
African Thrush,Turdus pelios
African Bare-eyed Thrush,Turdus tephronotus
Olive Thrush,Turdus olivaceus
Taita Thrush,Turdus helleri
Brown-chested Alethe,Alethe poliocephala
White-starred Robin,Pogonocichla stellata
Equatorial Akalat,Sheppardia aequatorialis
East Coast Akalat,Sheppardia gunningi
Grey-winged Robin,Sheppardia polioptera
Thrush Nightingale,Luscinia luscinia
Common Nightingale,Luscinia megarhynchos
Irania,Irania gutturalis
Cape Robin Chat,Cossypha caffra
Blue-shouldered Robin Chat,Cossypha cyanocampter
Rüppell's Robin Chat,Cossypha semirufa
White-browed Robin Chat,Cossypha heuglini
Red-capped Robin Chat,Cossypha natalensis
Snowy-headed Robin Chat,Cossypha niveicapilla
Collared Palm Thrush,Cichladusa arquata
Spotted Palm Thrush,Cichladusa guttata
Bearded Scrub Robin,Cercotrichas quadrivirgata
Brown-backed Scrub Robin,Cercotrichas hartlaubi
White-browed Scrub Robin,Cercotrichas leucophrys
Rufous Bush Chat,Cercotrichas galactotes
Common Redstart,Phoenicurus pheonicurus
Whinchat,Saxicola rubetra
Common Stonechat,Saxicola torquatus
Capped Wheatear,Oenanthe pileata
Heuglin's Wheatear,Oenanthe heuglini
Isabelline Wheatear,Oenanthe isabellina
Northern Wheatear,Oenanthe oenanthe
Pied Wheatear,Oenanthe pleschanka
Black-eared Wheatear,Oenanthe hispanica
Desert Wheatear,Oenanthe deserti
Abyssinian Wheatear,Oenanthe lugubris
Familiar Chat,Cercomela familiaris
Brown-tailed Rock Chat,Cercomela scotocerca
Moorland Chat,Cercomela sordida
Northern Anteater Chat,Myrmecocichla aethiops
Sooty Chat,Myrmecocichla nigra
Mocking Cliff Chat,Thamnolaea cinnamomeiventris
Common Rock Thrush,Monticola saxatilis
Little Rock Thrush,Monticola rufocinereus
White-eyed Slaty Flycatcher,Melaenornis fischeri
Northern Black Flycatcher,Melaenornis edolioides
Southern Black Flycatcher,Melaenornis pammelaina
Pale Flycatcher,Bradornis pallidus
African Grey Flycatcher,Bradornis microrhynchus
Silverbird,Empidornis semipartitus
Spotted Flycatcher,Muscicapa striata
Gambaga Flycatcher,Muscicapa gambagae
Ashy Flycatcher,Muscicapa caerulescens
Swamp Flycatcher,Muscicapa aquatica
Chapin's Flycatcher,Muscicapa lendu
African Dusky Flycatcher,Muscicapa adusta
Lead-coloured Flycatcher,Myioparus plumbeus
Pied Flycatcher,Ficedula hypoleuca
Collared Flycatcher,Ficedula albicollis
Semi-collared Flycatcher,Ficedula semitorquata
Plain-backed Sunbird,Anthreptes reichenowi
Western Violet-backed Sunbird,Anthreptes longuemarei
Eastern Violet-backed Sunbird,Anthreptes orientalis
Uluguru Violet-backed Sunbird,Anthreptes neglectus
Grey-chinned Sunbird,Anthreptes rectirostris
Collared Sunbird,Hedydipna collaris
Pygmy Sunbird,Hedydipna platyura
Amani Sunbird,Hedydipna pallidigaster
Green-headed Sunbird,Cyanomitra verticalis
Olive Sunbird,Cyanomitra olivacea
Mouse-collared Sunbird,Cyanomitra veroxii
Green-throated Sunbird,Chalcomitra rubescens
Amethyst Sunbird,Chalcomitra amethystina
Scarlet-chested Sunbird,Chalcomitra senegalensis
Hunter's Sunbird,Chalcomitra hunteri
Tacazze Sunbird,Nectarinia tacazze
Bronze Sunbird,Nectarinia kilimensis
Malachite Sunbird,Nectarinia famosa
Scarlet-tufted Sunbird,Nectarinia johnstoni
Golden-winged Sunbird,Drepanorhynchus reichenowi
Olive-bellied Sunbird,Cinnyris chloropygius
Northern Double-collared Sunbird,Cinnyris reichenowi
Eastern Double-collared Sunbird,Cinnyris mediocris
Usambara Double-collared Sunbird,Cinnyris usambaricus
Beautiful Sunbird,Cinnyris pulchellus
Marico Sunbird,Cinnyris mariquensis
Red-chested Sunbird,Cinnyris erythrocercus
Black-bellied Sunbird,Cinnyris nectarinioides
Purple-banded Sunbird,Cinnyris bifasciatus
Tsavo Sunbird,Cinnyris tsavoensis
Violet-breasted Sunbird,Cinnyris chalcomelas
Orange-tufted Sunbird,Cinnyris bouvieri
Shining Sunbird,Cinnyris habessinicus
Variable Sunbird,Cinnyris venustus
Superb Sunbird,Cinnyris superbus
Copper Sunbird,Cinnyris cupreus
White-browed Sparrow Weaver,Plocepasser mahali
Chestnut-crowned Sparrow Weaver,Plocepasser superciliosus
Donaldson Smith's Sparrow Weaver,Plocepasser donaldsoni
Rufous-tailed Weaver,Histurgops ruficauda
Grey-capped Social Weaver,Pseudonigrita arnaudi
Black-capped Social Weaver,Pseudonigrita cabanisi
House Sparrow,Passer domesticus
Somali Sparrow,Passer castanopterus
Kenya Rufous Sparrow,Passer rufocinctus
Grey-headed Sparrow,Passer griseus
Chestnut Sparrow,Passer eminibey
Yellow-spotted Petronia,Petronia pyrgita
White-billed Buffalo Weaver,Bubalornis albirostris
Red-billed Buffalo Weaver,Bubalornis niger
White-headed Buffalo Weaver,Dinemellia dinemelli
Speckle-fronted Weaver,Sporopipes frontalis
Grosbeak Weaver,Amblyospiza albifrons
Baglafecht Weaver,Ploceus baglafecht
Slender-billed Weaver,Ploceus pelzelni
Little Weaver,Ploceus luteolus
Spectacled Weaver,Ploceus ocularis
Black-necked Weaver,Ploceus nigricollis
Black-billed Weaver,Ploceus melanogaster
Eastern Golden Weaver,Ploceus subaureus
Holub's Golden Weaver,Ploceus xanthops
Orange Weaver,Ploceus aurantius
Heuglin's Masked Weaver,Ploceus heuglini
Golden Palm Weaver,Ploceus bojeri
Taveta Golden Weaver,Ploceus castaneiceps
Northern Brown-throated Weaver,Ploceus castanops
Northern Masked Weaver,Ploceus taeniopterus
Lesser Masked Weaver,Ploceus intermedius
Vitelline Masked Weaver,Ploceus vitellinus
Speke's Weaver,Ploceus spekei
Village Weaver,Ploceus cucullatus
Vieillot's Black Weaver,Ploceus nigerrimus
Clarke's Weaver,Ploceus golandi
Juba Weaver,Ploceus dichrocephalus
Yellow-backed Weaver,Ploceus melanocephalus
Golden-backed Weaver,Ploceus jacksoni
Chestnut Weaver,Ploceus rubiginosus
Yellow-mantled Weaver,Ploceus tricolor
Compact Weaver,Ploceus superciliosus
Dark-backed Weaver,Ploceus bicolor
Brown-capped Weaver,Ploceus insignis
Red-headed Malimbe,Malimbus rubricollis
Red-headed Weaver,Anaplectes melanotis
Cardinal Quelea,Quelea cardinalis
Red-headed Quelea,Quelea erythrops
Red-billed Quelea,Quelea quelea
Yellow-crowned Bishop,Euplectes afer
Fire-fronted Bishop,Euplectes diadematus
Black Bishop,Euplectes gierowii
Zanzibar Red Bishop,Euplectes nigroventris
Black-winged Red Bishoop,Euplectes hordeaceus
Southern Red Bishop,Euplectes orix
Northern Red Bishop,Euplectes franciscanus
Yellow Bishop,Euplectes capensis
Fan-tailed Widowbird,Euplectes axillaris
Yellow-mantled Widowbird,Euplectes macroura
Marsh Widowbird,Euplectes hartlaubi
White-winged Widowbird,Euplectes albonotatus
Red-collared Widowbird,Euplectes ardens
Long-tailed Widowbird,Euplectes progne
Jackson's Widowbird,Euplectes jacksoni
White-breasted Negrofinch,Nigrita fusconotus
Grey-headed Negrofinch,Nigrita canicapillus
Yellow-bellied Waxbill,Coccopygia quartinia
Green-backed Twinspot,Mandingoa nitidula
Abyssinian Crimsonwing,Cryptospiza salvadorii
Fawn-breasted Waxbill,Estrilda paludicola
Crimson-rumped Waxbill,Estrilda rhodopyga
Black-rumped Waxbill,Estrilda troglodytes
Common Waxbill,Estrilda astrild
Black-crowned Waxbill,Estrilda nonnula
Kandt's Waxbill,Estrilda kandti
Black-faced Waxbill,Estrilda erythronotus
Black-cheeked Waxbill,Estrilda charmosyna
Red-headed Bluebill,Spermophaga ruficapilla
Black-bellied Seed-cracker,Pyrenestes ostrinus
Red-cheeked Cordon-bleu,Uraeginthus bengalus
Blue-capped Cordon-bleu,Uraeginthus cyanocephalus
Purple Grenadier,Granatina ianthinogaster
Peters's Twinspot,Hypargos niveoguttatus
Brown Twinspot,Clytospiza monteiri
Orange-winged Pytilia,Pytilia afra
Green-winged Pytilia,Pytilia melba
Black-bellied Firefinch,Lagonosticta rara
Bar-breasted Firefinch,Lagonosticta rufopicta
Red-billed Firefinch,Lagonosticta senegala
African Firefinch,Lagonosticta rubricata
Jameson's Firefinch,Lagonosticta rhodopareia
Cut-throat Finch,Amadina fasciata
African Quailfinch,Ortygospiza fuscocrissa
Orange-breasted Waxbill,Amandava subflava
Locust Finch,Paludipasser locustella
Grey-headed Silverbill,Odontospiza griseicapilla
Bronze Mannikin,Spermestes cucculatus
Black-and-white Mannikin,Spermestes bicolor
Magpie Mannikin,Spermestes fringilloides
African Silverbill,Euodice cantans
Parasitic Weaver,Anomalospiza imberbis
Pin-tailed Whydah,Vidua macroura
Broad-tailed Paradise Whydah,Vidua obtusa
Eastern Paradise Whydah,Vidua paradisaea
Steel-blue Whydah,Vidua hypocherina
Straw-tailed Whydah,Vidua fischeri
Village Indigobird,Vidua chalybeata
Dusky Indigobird,Vidua funerea
Purple Indigobird,Vidua purpurascens
Yellow Wagtail,Motacilla flava
Cape Wagtail,Motacilla capensis
Grey Wagtail,Motacilla cinerea
Mountain Wagtail,Motacilla clara
White Wagtail,Motacilla alba
African Pied Wagtail,Motacilla aguimp
Golden Pipit,Tmetothylacus tenellus
Sharpe's Longclaw,Macronyx sharpei
Yellow-throated Longclaw,Macronyx croceus
Pangani Longclaw,Macronyx aurantiigula
Rosy-breasted Lonclaw,Macronyx ameliae
Grassland Pipit,Anthus cinnamomeus
Tawny Pipit,Anthus campestris
Long-billed Pipit,Anthus similis
Plain-backed Pipit,Anthus leucophrys
Buffy Pipit,Anthus vaalensis
Tree Pipit,Anthus trivialis
Red-throated Pipit,Anthus cervinus
Striped Pipit,Anthus lineiventris
Bush Pipit,Anthus caffer
Sokoke Pipit,Anthus sokokensis
Malindi Pipit,Anthus melindae
Yellow-crowned Canary,Serinus flavivertex
African Citril,Crithagra citrinelloides
Southern Citril,Crithagra hyposticta
Papyrus Canary,Crithagra koliensis
Reichenow's Seedeater,Crithagra reichenowi
Black-throated Seedeater,Crithagra atrogularis
Yellow-fronted Canary,Crithagra mozambica
Northern Grosbeak Canary,Crithagra donaldsoni
Southern Grosbeak Canary,Crithagra buchanani
White-bellied Canary,Crithagra dorsostriata
Brimstone Canary,Crithagra sulphurata
Stripe-breasted Seedeater,Crithagra reichardi
Streaky-headed Seedeater,Crithagra gularis
Streaky Seedeater,Crithagra striolata
Thick-billed Seedeater,Crithagra burtoni
Oriole Finch,Linurgus olivaceus
Ortolan Bunting,Emberiza hortulana
House Bunting,Emberiza striolata
Cinnamon-breasted Bunting,Emberiza tahapisi
Somali Bunting,Emberiza poliopleura
Golden-breasted Bunting,Emberiza flaviventris
Brown-rumped Bunting,Emberiza affinis
